AAAS Afrcn and Afrcn-Amer Stds,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,21503,ACCT,3310,M50,11M,3,Intermediate Managerial Acct,,TBA,55,0,55,100,0,100,0,0,0,James M Lukawitz (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,28682,ACCT,3320,1,11M,3,Accounting Data Analytics I,MW,02:20 pm-03:45 pm,40,0,40,100,0,100,0,0,0,Nirmalee Ivy Raddatz (P),01/17-05/04,TBA,
NR,15434,ACCT,4020,1,11M,3,Accounting Information Systems,TR,11:20 am-12:45 pm,40,0,40,100,0,100,0,0,0,Peter L McMickle (P),01/17-05/04,FCB 257,Course Fee Business UG
NR,22542,ACCT,4020,M50,11M,3,Accounting Information Systems,,TBA,20,0,20,100,0,100,0,0,0,Peter L McMickle (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,22543,ACCT,4240,M50,11M,3,Audit/Assurance Services,,TBA,50,0,50,100,0,100,0,0,0,Nan Golden (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,28683,ACCT,4521,1,11M,3,Individual Tax Compliance/Plan,TR,09:40 am-11:05 am,20,0,20,100,0,100,30,0,30,Hannah E Smith (P),01/17-05/04,TBA,
NR,21949,ACCT,4910,M50,11M,3,Problems in Accounting,,TBA,10,0,10,100,0,100,0,0,0,Kenneth R Lambert (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,15835,ACCT,4911,1,11M,1,Internship in Accounting,,TBA,15,0,15,100,0,100,0,0,0,Jeffrey Mark Nevels (P),01/17-05/04,TBA,Course Fee Business UG
NR,18567,ACCT,4911,2,11M,3,Internship in Accounting,,TBA,21,0,21,100,0,100,0,0,0,Jeffrey Mark Nevels (P),01/17-05/04,TBA,Course Fee Business UG
NR,18568,ACCT,4911,3,11M,6,Internship in Accounting,,TBA,25,0,25,100,0,100,0,0,0,Jeffrey Mark Nevels (P),01/17-05/04,TBA,Course Fee Business UG
NR,28684,ACCT,6521,1,11M,3,Individual Tax Compliance/Plan,TR,09:40 am-11:05 am,10,0,10,100,0,100,30,0,30,Hannah E Smith (P),01/17-05/04,TBA,
NR,23230,ACCT,7050,M50,11M,3,Corp Governance/Bus Ethics,,TBA,70,0,70,100,0,100,0,0,0,Zabihollah Rezaee (P),01/17-05/04,WEB 100,Course Fee - Business GR and Online MBA GR and UM3D Approved Online Section
NR,18214,ACCT,7080,1,11M,3,Financial/Managerial Acct Mgrs,W,07:10 pm-10:10 pm,60,0,60,100,0,100,0,0,0,Randolph G Turner (P),01/17-05/04,FCB 131,Course Fee - Business GR
NR,19293,ACCT,7080,M50,11M,3,Financial/Managerial Acct Mgrs,,TBA,75,0,75,100,0,100,0,0,0,Randolph G Turner (P),01/17-05/04,WEB 100,Course Fee - Business GR and Online MBA GR and UM3D Approved Online Section
NR,27612,ACCT,7140,1,11M,3,Financial Statement Analysis,MW,09:10 am-12:10 pm,50,0,50,100,0,100,0,0,0,James M Lukawitz (P),01/17-05/04,WEB 100,Course Fee - Business GR
NR,28685,ACCT,7242,1,11M,3,Advanced Auditing,TR,09:40 am-11:05 am,25,0,25,100,0,100,0,0,0,Nan Golden (P),01/17-05/04,TBA,Course Fee - Business GR
NR,26224,ACCT,7242,M50,11M,3,Advanced Auditing,,TBA,30,0,30,100,0,100,0,0,0,Nan Golden (P),01/17-05/04,WEB 100,Course Fee - Business GR and Online MBA GR and UM3D Approved Online Section
NR,28686,ACCT,7322,1,11M,3,Advanced Managerial ACCT,TR,02:20 pm-04:05 pm,60,0,60,100,0,100,0,0,0,Peter L McMickle (P),01/17-05/04,TBA,
NR,28232,ACCT,7511,1,11M,3,Tax- Partnships/Prtnrs,W,05:30 pm-08:30 pm,30,0,30,100,0,100,0,0,0,Philip William Kunz (P),01/17-05/04,FCB 261,Course Fee - Business GR
NR,26199,ACCT,7521,M50,11M,3,Taxation/Bus Entities,,TBA,50,0,50,100,0,100,0,0,0,Hannah E Smith (P),01/17-05/04,WEB 100,Course Fee - Business GR and Online MBA GR and UM3D Approved Online Section
NR,21425,ACCT,7626,M50,11M,3,Financial Report/Audit Stand,,TBA,30,0,30,100,0,100,0,0,0,James M Lukawitz (P),01/17-05/04,WEB 100,Course Fee - Business GR and Online MBA GR and UM3D Approved Online Section
NR,20064,ACCT,7910,1,11M,1,Problems In Acct,,TBA,10,0,10,100,0,100,0,0,0,James M Lukawitz (P),01/17-05/04,WEB 100,Course Fee - Business GR
NR,15817,ACCT,7910,2,11M,3,Problems In Acct,,TBA,10,0,10,100,0,100,0,0,0,James M Lukawitz (P),01/17-05/04,WEB 100,Course Fee - Business GR
NR,22597,ACCT,7910,M50,11M,3,Problems In Acct,,TBA,20,0,20,100,0,100,0,0,0,Kenneth R Lambert (P),01/17-05/04,WEB 100,Course Fee - Business GR and UM3D Approved Online Section
NR,16329,ACCT,8610,1,11M,3,Seminar/Audit Research,T,09:00 am-12:00 pm,6,0,6,100,0,100,0,0,0,Zabihollah Rezaee (P),01/17-05/04,TBA,Course Fee - Business GR
NR,15457,ACCT,8710,1,11M,3,Acct Research Sem/Adv Cap Mkts,W,02:00 pm-05:00 pm,6,0,6,100,0,100,0,0,0,Steve W Lin (P),01/17-05/04,TBA,Course Fee - Business GR
NR,16918,ACCT,8731,1,11M,3,Acct Research Methods,M,05:30 pm-08:30 pm,6,0,6,100,0,100,0,0,0,Hongbo Zhang (P),01/17-05/04,FCB 263,Course Fee - Business GR
ADVR Advertising,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,27117,ADVR,3300,M3A,11M,3,Intro to Advertising Honors,,TBA,45,0,45,100,0,100,45,0,45,Garrett Tyler Pilgrim (P),01/17-05/04,WEB 100,Online BA Journalism UG and (Tiger Eats Does Not Apply) and Honors Section and UM3D Approved Online Section
NR,25484,ADVR,3300,M50,11M,3,Intro to Advertising,,TBA,45,0,45,100,0,100,45,0,45,Garrett Tyler Pilgrim (P),01/17-05/04,WEB 100,Online BA Journalism UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,28756,ADVR,3310,1,11M,3,Branding and Strategic Media,MW,12:40 pm-02:05 pm,25,0,25,100,0,100,0,0,0,Joel Mondell Nichols (P),01/17-05/04,MJ 112,
NR,27552,ADVR,3320,1,11M,3,Strategic Account Management,MW,09:10 am-10:35 am,25,0,25,100,0,100,0,0,0,Joel Mondell Nichols (P),01/17-05/04,MJ 112,
NR,28130,ADVR,3321,1,11M,3,Copywriting,T,05:30 pm-08:30 pm,20,0,20,100,0,100,0,0,0,Brandon Nicholas Davis (P),01/17-05/04,MJ 206,
NR,25486,ADVR,3324,1,11M,3,Creative Strategy,MW,12:40 pm-02:05 pm,20,0,20,100,0,100,0,0,0,Ruoxu Wang (P),01/17-05/04,MJ 206,
NR,25487,ADVR,4328,1,11M,3,Strategic Advertising Campaign,MW,02:20 pm-03:45 pm,20,0,20,100,0,100,20,0,20,Joel Mondell Nichols (P),01/17-05/04,MJ 106,
NR,28298,ADVR,4830,1,11M,3,Directed Indiv Study,,TBA,5,0,5,100,0,100,0,0,0,Michael Robinson (P),01/17-05/04,TBA,
